MV_Type	Lemma	Related_MV	Target_Domain	BM	CM	BM_RAE	CM_RAE
OneWordMV	eliminado	eliminar, eliminación, eliminado	23, 11, 22	eliminar-00173338-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/eliminar-02482425-v	eliminar-00072989-v, matar, quitar		
OneWordMV	eliminar	eliminar, eliminación, eliminado	21, 11, 22	eliminar-00173338-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/eliminar-02482425-v	eliminar-00072989-v, matar, quitar		
OneWordMV	empezar		62	empezar-00345761-v			
OneWordMV	emplear		64	reclutar-02240151-v	utilizar-01158872-v		
OneWordMV	encajar		22	encajar-01527271-v	solucionar-00698855-v		
OneWordMV	encargado		64	encargar-00746718-v	utilizar-01158872-v		
OneWordMV	enchufar		6	plug into an outlet: conectar, enchufar	tratar-00080304-v		
OneWordMV	encontrado	encontrar, encontrado	52, 53, 12	encontrar-00721437-v	encontrar-00918872-v		
OneWordMV	encontrar	encontrar, encontrado	76	encontrar-00721437-v	conocer-00594337-v		
OneWordMV	encontrar	encontrar, encontrado	52, 53, 11	encontrar-00721437-v	encontrar-00918872-v		
OneWordMV	encontrar	encontrar, encontrado	34, 39, 21	encontrar-00721437-v	encontrar-02739480-v		
OneWordMV	enemigo		11	enemigo-07946851-n	cáncer-14239918-n		
OneWordMV	energía	te mando energía	34	energía-11452218-n			
OneWordMV	enfermo		33	enferma-02541302-a	enfermarse-02195191-v		
OneWordMV	enfocado		31	enfocar-00292368-v	enfocar-00722232-v		
OneWordMV	enfrentar	entrentar, enfrentar(se)	2, 53, 26	enfrentarse-01079480-v	enfrentarse-00812298-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/enfrentarse-01079480-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/enfrentarse-01091427-v		
OneWordMV	enrollar		81	enrollar-00435688-v	hablar-00941990-v		
OneWordMV	ensayo	ensayo clínico					
OneWordMV	entender		73	entender-00588221-v	entender-00590642-v		
